eta index 1,eta index 2,centrality index,mean 1,mean 2,cov,Sigma,Delta,Bcorr
1,4,3,3.23587,3.33727,1.26557,1.03305,1.10745,0.271558
1,4,4,2.72796,2.80161,1.05985,1.02486,1.14995,0.272235
1,4,5,2.28021,2.34108,0.903257,1.02369,1.54804,0.276368
1,4,6,1.87132,1.89863,0.738481,1.032,1.50361,0.275173
1,4,7,1.46918,1.49004,0.584216,1.02427,0.825664,0.278236
1,4,8,1.10009,1.1059,0.417735,1.02371,0.818316,0.27005
1,5,0,2.30398,2.38296,3.01658,1.04269,-0.0529298,0.552477
1,5,1,5.13534,5.41173,2.42012,1.04652,1.21406,0.304908
1,5,2,3.87725,4.05683,1.48432,1.04637,1.36121,0.263458
1,5,3,3.23587,3.35991,1.21447,1.04302,1.52661,0.260993
1,5,4,2.72796,2.81009,1.0174,1.04132,1.13921,0.260834
1,5,5,2.28021,2.34677,0.869434,1.03975,1.47027,0.265515
1,5,6,1.87132,1.90307,0.714509,1.04156,1.92048,0.266611
1,5,7,1.46918,1.49346,0.562922,1.03756,1.09504,0.268078
1,5,8,1.10009,1.10529,0.40618,1.03289,1.25664,0.262877
1,6,0,2.30398,2.38143,2.99554,1.05636,-0.406896,0.547606
1,6,1,5.13534,5.43664,2.36118,1.06199,1.12321,0.296145
1,6,2,3.87725,4.05673,1.40945,1.06323,1.45002,0.250536
1,6,3,3.23587,3.36584,1.17658,1.05616,1.45371,0.252385
1,6,4,2.72796,2.81126,0.980167,1.05242,1.30386,0.251675
1,6,5,2.28021,2.33822,0.834062,1.05322,1.56993,0.255388
1,6,6,1.87132,1.89527,0.68579,1.05056,2.94141,0.257422
1,6,7,1.46918,1.48446,0.540149,1.04878,1.49648,0.258571
1,6,8,1.10009,1.09686,0.386459,1.046,-0.705166,0.251689
1,7,0,2.30398,2.3835,2.97986,1.06999,-0.713845,0.543022
1,7,1,5.13534,5.46692,2.32636,1.07232,1.07715,0.290473
1,7,2,3.87725,4.07103,1.3603,1.07594,1.45975,0.241425
1,7,3,3.23587,3.3657,1.12672,1.07135,1.44893,0.241677
1,7,4,2.72796,2.81911,0.936664,1.06753,1.37771,0.240356
1,7,5,2.28021,2.33634,0.793628,1.07189,1.46802,0.242879
1,7,6,1.87132,1.89295,0.656792,1.06774,2.75512,0.246335
1,7,7,1.46918,1.47607,0.513223,1.05996,4.19039,0.247445
1,7,8,1.10009,1.08779,0.370121,1.05674,0.364919,0.242523
1,8,0,2.30398,2.40068,2.97355,1.08497,-0.561754,0.538132
1,8,1,5.13534,5.52462,2.24889,1.09007,1.11455,0.279157
1,8,2,3.87725,4.11285,1.32018,1.08737,1.46647,0.233179
1,8,3,3.23587,3.39075,1.07898,1.08523,1.5214,0.230887
1,8,4,2.72796,2.83755,0.906592,1.08156,1.27523,0.231528
1,8,5,2.28021,2.35112,0.759169,1.08589,1.58633,0.231931
1,8,6,1.87132,1.89895,0.621342,1.08797,2.3492,0.232528
1,8,7,1.46918,1.47972,0.489458,1.07418,3.88276,0.236091
1,8,8,1.10009,1.091,0.356955,1.06725,-0.488394,0.233889
1,9,0,2.30398,2.41098,2.96261,1.09363,-0.348206,0.534691
1,9,1,5.13534,5.56487,2.19679,1.0958,1.28857,0.272735
1,9,2,3.87725,4.1343,1.25692,1.09884,1.62486,0.222276
1,9,3,3.23587,3.41053,1.03715,1.09447,1.6737,0.221993
1,9,4,2.72796,2.84511,0.87933,1.08811,1.45822,0.224866
1,9,5,2.28021,2.35854,0.724693,1.09798,1.76628,0.221579
1,9,6,1.87132,1.90391,0.607096,1.09376,2.4628,0.227258
1,9,7,1.46918,1.48158,0.472568,1.08389,3.9756,0.22812
1,9,8,1.10009,1.09351,0.339407,1.0775,-3.25423,0.223123
1,10,0,2.30398,2.41476,2.95353,1.10143,-0.385797,0.531958
1,10,1,5.13534,5.59208,2.18414,1.09919,1.30077,0.270502
1,10,2,3.87725,4.14613,1.21629,1.1083,1.64995,0.214965
1,10,3,3.23587,3.41589,1.00142,1.10458,1.69864,0.214317
1,10,4,2.72796,2.8494,0.835302,1.10207,1.55191,0.21377
1,10,5,2.28021,2.35687,0.701098,1.1036,2.04232,0.215133
1,10,6,1.87132,1.90523,0.597214,1.09723,2.63142,0.223783
1,10,7,1.46918,1.47889,0.454177,1.09114,6.18086,0.220225
1,10,8,1.10009,1.09097,0.328703,1.08709,-1.90807,0.216307
1,11,0,2.30398,2.42035,2.95075,1.11059,-0.524387,0.529371
1,11,1,5.13534,5.62999,2.14912,1.11097,1.23166,0.26456
1,11,2,3.87725,4.16296,1.1918,1.1139,1.66857,0.210389
1,11,3,3.23587,3.42384,0.980351,1.11191,1.6642,0.209466
1,11,4,2.72796,2.85259,0.811349,1.11075,1.55129,0.207535
1,11,5,2.28021,2.35498,0.678707,1.11331,2.04733,0.20832
1,11,6,1.87132,1.90488,0.574609,1.10455,3.1643,0.216052
1,11,7,1.46918,1.47795,0.437175,1.10522,5.80413,0.211642
1,11,8,1.10009,1.08909,0.321768,1.08944,-2.08338,0.212499
1,12,0,2.30398,2.43413,2.95955,1.11856,-0.526501,0.527608
1,12,1,5.13534,5.6864,2.1296,1.11977,1.19648,0.260282
1,12,2,3.87725,4.19769,1.17278,1.11942,1.65423,0.206249
1,12,3,3.23587,3.445,0.952389,1.12167,1.62498,0.202801
